"Id";"지정자";"풋프린트";"수량";"지정";"공급자와 참조";
1;"S45,S53,S10,S9,S18,S16,S3,S49,S50,S1,S33,S55,S60,S41,S5,S57,S26,S43,S51,S4,S27,S58,S7,S14,S39,S24,S54,S68,S29,S25,S36,S22,S34,S70,S28,S30,S13,S23,S56,S17,S31,S52,S46,S11,S12,S42,S69,S40,S6,S21,S15,S20,S37,S8,S38,S44,S2";"MX_PCB_1.00u";57;"Keyswitch";;;
2;"S35";"MX_PCB_1.75u";1;"Keyswitch";;;
3;"S61,S62,S67";"MX_PCB_1.25u";3;"Keyswitch";;;
4;"LED1,LED3,LED2";"LED_D3.0mm-Pretty";3;"Placeholder_LED";;;
5;"S65,S64";"Hotswap_MX_3.00u";2;"Keyswitch";;;
6;"S47,S48";"Hotswap_MX_2.25u";2;"Keyswitch";;;
7;"S59";"Hotswap_MX_2.00u";1;"Keyswitch";;;
8;"S63,S66,S19,S32";"MX_PCB_1.50u";4;"Keyswitch";;;
9;"RESW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
10;"C6,CRGB14,CRGB15,CRGB2,CRGB9,CRGB11,CRGB16,CRGB4,C7,CRGB6,CRGB5,CRGB10,CRGB7,CRGB3,CRGB13,C5,CRGB12,CRGB1,CRGB8";"C_0603";19;"0.1uF";;;
11;"RGB7,RGB16,RGB14,RGB6,RGB8,RGB13,RGB12,RGB4,RGB2,RGB1,RGB5,RGB10,RGB3,RGB15,RGB11,RGB9";"LED_WS2812B-PLCC4";16;"WS2812B";;;
12;"D8,D58,D49,D60,D55,D71,D57,D14,D7,D47,D4,D27,D26,D20,D65,D5,D37,D51,D6,D62,D18,D13,D50,D43,D59,D41,D39,D30,D54,D24,D36,D9,D38,D31,D32,D21,D22,D40,D53,D34,D52,D15,D44,D19,D12,D70,D64,D69,D3,D48,D17,D25,D46,D67,D1,D2,D11,D61,D33,D56,D28,D68,D23,D16,D10,D66,D42,D29,D63,D35,D45";"D_SOD-123";71;"D_Small";;;
13;"C1";"C_0603";1;"1uF";;;
14;"C9,C8";"C_0603";2;"0.01uF";;;
15;"RC1,RC2";"R_0603";2;"22";;;
16;"U2";"SOT143B";1;"PRTR5V0U2X";;;
17;"C4";"C_0603";1;"10uF";;;
18;"C3,C2";"C_0603";2;"22pF";;;
19;"SW1";"SKQG-1155865";1;"SW_Push";;;
20;"J1";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
21;"RC8";"R_0603";1;"1k";;;
22;"RC7,RC6";"R_0603";2;"5k1";;;
23;"RLED1,RLED2,RLED3";"R_0603";3;"330";;;
24;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
25;"RC5,RC3,RC4";"R_0603";3;"10k";;;
26;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
27;"U1";"QFN-44-1EP_7x7mm_Pitch0.5mm";1;"ATmega32U4-MU";;;
28;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
